                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                0.74563,                 2.2387,                 1.2032,                0.73431,                    0.8,                 0.8399,                0.65411,                0.53396,                 2.1256,                 1.2571,                 0.0892,                 0.0012,                 0.0012
                      1,                0.62315,                 1.1857,                 1.1512,                0.83293,                0.98182,                0.96067,                0.81686,                0.42166,                 1.2212,                 1.1271,               0.077451,              0.0024505,              0.0024505
                      2,                0.52932,                0.83096,                 1.0743,                0.92186,                0.89091,                0.95479,                0.85642,                0.38323,                0.75235,                 1.0559,                0.06565,              0.0036495,              0.0036495
                      3,                0.51981,                0.74008,                 1.0861,                0.95224,                0.92727,                0.98161,                0.85897,                0.46216,                0.59741,                  1.155,               0.053797,              0.0047971,              0.0047971
                      4,                0.48768,                0.62237,                  1.024,                0.87489,                0.92727,                0.95886,                0.81473,                0.56614,                0.58127,                 1.2877,               0.041893,              0.0058931,              0.0058931
                      5,                0.50856,                0.69932,                 1.0788,                0.89017,                0.94545,                 0.9644,                0.84789,                 0.5072,                0.53384,                 1.2557,               0.029938,              0.0069377,              0.0069377
                      6,                0.52603,                 0.6894,                 1.0587,                0.94283,                0.96364,                0.98571,                0.89553,                0.41608,                0.43023,                 1.1145,               0.017931,              0.0079308,              0.0079308
                      7,                0.53548,                0.72745,                 1.0793,                0.67597,                    0.8,                0.76365,                0.52376,                0.93884,                 1.1445,                 1.7438,               0.008614,               0.008614,               0.008614
                      8,                0.57637,                0.72912,                   1.08,                0.72533,                0.70909,                0.81199,                 0.5066,                 1.3178,                 1.3785,                 2.1776,               0.008614,               0.008614,               0.008614
                      9,                0.61013,                0.77869,                 1.1466,                0.87197,                 0.8669,                0.92807,                0.74172,                0.62484,                  1.062,                 1.3604,               0.008416,               0.008416,               0.008416
                     10,                0.57698,                0.60728,                  1.051,                0.84379,                0.68757,                0.82054,                0.58319,                0.93468,                  1.041,                 1.6907,               0.008218,               0.008218,               0.008218
                     11,                 0.6308,                0.71267,                 1.1194,                0.75688,                0.76364,                0.80144,                0.48152,                 1.2888,                 1.5187,                 2.0837,                0.00802,                0.00802,                0.00802
